Subject_ID,Montage,Analysis,ROI_Mean,ROI_Max,ROI_Min,ROI_Focality,Grey_Mean,Grey_Max,Grey_Min,ROI_Mean_STD,ROI_Max_STD,ROI_Min_STD,ROI_Focality_STD
sub-101,ernie_R_thala,region_49,0.198157,0.375911,0.112550,1.039600,0.156552,0.563606,0.000000,-0.166092,-0.531934,0.404421,0.142170
sub-102,ernie_R_thala,region_49,0.177359,0.360089,0.105081,1.000786,0.141432,0.540758,0.000000,-1.189134,-0.784469,-0.270314,-0.439713
sub-103,ernie_R_thala,region_49,0.195572,0.453695,0.089206,1.105132,0.145364,0.513480,0.000000,-0.293250,0.709591,-1.704362,1.124570
sub-106,ernie_R_thala,region_49,0.184134,0.340237,0.107780,0.952444,0.156464,0.617907,0.000000,-0.855867,-1.101337,-0.026526,-1.164407
sub-107,ernie_R_thala,region_49,0.161856,0.383817,0.090404,1.003981,0.130354,0.515734,0.000000,-1.951726,-0.405748,-1.596091,-0.391813
sub-108,ernie_R_thala,region_49,0.199122,0.378183,0.107419,1.016316,0.160027,0.596743,0.000000,-0.118638,-0.495680,-0.059108,-0.206898
sub-109,ernie_R_thala,region_49,0.232543,0.500462,0.103557,1.130026,0.169810,0.576548,0.000000,1.525337,1.456048,-0.407998,1.497771
sub-110,ernie_R_thala,region_49,0.201926,0.388078,0.113316,0.996333,0.164893,0.596674,0.000000,0.019305,-0.337741,0.473575,-0.506465
sub-111,ernie_R_thala,region_49,0.183666,0.390958,0.093353,0.963687,0.155556,0.702264,0.000000,-0.878890,-0.291774,-1.329720,-0.995874
sub-112,ernie_R_thala,region_49,0.193152,0.425924,0.104655,1.101972,0.143308,0.534779,0.000000,-0.412283,0.266337,-0.308784,1.077194
sub-114,ernie_R_thala,region_49,0.213380,0.410253,0.116146,0.949962,0.182357,0.621002,0.000000,0.582713,0.016198,0.729248,-1.201626
sub-115,ernie_R_thala,region_49,0.164831,0.349882,0.096634,0.972144,0.136512,0.557306,0.000000,-1.805405,-0.947387,-1.033359,-0.869083
sub-116,ernie_R_thala,region_49,0.182967,0.454082,0.122553,0.831057,0.177618,0.916857,0.000000,-0.913265,0.715766,1.307935,-2.984164
sub-117,ernie_R_thala,region_49,0.193081,0.433343,0.095655,1.189258,0.131395,0.461685,0.000000,-0.415763,0.384753,-1.121785,2.385732
sub-118,ernie_R_thala,region_49,0.183404,0.288921,0.105188,1.047680,0.142479,0.539499,0.000000,-0.891775,-1.920398,-0.260637,0.263299
sub-119,ernie_R_thala,region_49,0.241869,0.597157,0.125703,1.041067,0.187952,0.727070,0.000000,1.984089,2.999418,1.592514,0.164163
sub-120,ernie_R_thala,region_49,0.200005,0.377168,0.106583,1.001144,0.159944,0.535796,0.000000,-0.075202,-0.511867,-0.134590,-0.434339
sub-121,ernie_R_thala,region_49,0.185249,0.383724,0.105953,1.028448,0.149884,0.532050,0.000000,-0.801027,-0.407226,-0.191550,-0.025017
sub-122,ernie_R_thala,region_49,0.229684,0.453079,0.123733,1.017514,0.184294,0.674773,0.000000,1.384702,0.699756,1.414584,-0.188927
sub-123,ernie_R_thala,region_49,0.166296,0.336304,0.083383,0.968639,0.140233,0.500712,0.000000,-1.733325,-1.164109,-2.230376,-0.921629
sub-124,ernie_R_thala,region_49,0.209935,0.330161,0.111773,1.017342,0.167888,0.636302,0.000000,0.413261,-1.262160,0.334223,-0.191514
